Inception,87,8.8,4
The Matrix,87,8.7,7
Avengers: Infinity War,84,8.5,1
Back to the Future,96,8.5,4
The Good  the Bad and the Ugly,97,8.8,5
Spider-Man: Into the Spider-Verse,97,8.4,9
The Pianist,95,8.5,2
Django Unchained,87,8.4,2
Raiders of the Lost Ark,95,8.4,1
Inglourious Basterds,89,8.3,6
Taxi Driver,95,8.3,10
3 Idiots,100,8.4,3
Pan's Labyrinth,95,8.2,5
Room,93,8.1,5
Monty Python and the Holy Grail,97,8.2,9
Once Upon a Time in the West,95,8.5,9
Indiana Jones and the Last Crusade,88,8.2,10
Groundhog Day,96,8,5
The King's Speech,95,8,6
Her,95,8,6
There Will Be Blood,91,8.2,7
The Social Network,96,7.7,9
Dallas Buyers Club,93,8,6
The Perks of Being a Wallflower,86,8,2
Life of Brian,95,8.1,9
Ex Machina,92,7.7,3
Silver Linings Playbook,92,7.7,10
District 9,90,7.9,8
The Irishman,96,7.9,5
Moon,90,7.9,1
Marriage Story,95,8,6
Drive,92,7.8,6
Train to Busan,94,7.5,1
Incredibles 2,94,7.6,1
Dangal,88,8.4,2
Klaus,94,8.2,8
Minority Report,90,7.6,8
Mystic River,88,7.9,6
Like Stars on Earth,91,8.4,3
Ferris Bueller's Day Off,80,7.8,2
Despicable Me,81,7.6,4
Hell or High Water,97,7.6,3
Sin City,77,8,10
Ip Man,85,8,6
Indiana Jones and the Temple of Doom,85,7.6,8
The Theory of Everything,79,7.7,1
The Pursuit of Happyness,67,8,1
Senna,93,8.5,5
Scott Pilgrim vs. the World,81,7.5,7
Magnolia,83,8,5
The Hateful Eight,75,7.8,1
The Artist,95,7.9,1
Moonlight,98,7.4,10
Back to the Future Part II,65,7.8,9
Willy Wonka & the Chocolate Factory,91,7.8,5
What's Eating Gilbert Grape,90,7.8,5
The Curious Case of Benjamin Button,71,7.8,4
A Silent Voice,94,8.2,3
Snowpiercer,94,7.1,1
Hugo,93,7.5,9
Ant-Man and the Wasp,88,7.1,5
As Good as It Gets,85,7.7,5
Back to the Future Part III,80,7.4,7
Searching for Sugar Man,95,8.2,4
Road to Perdition,81,7.7,3
To All the Boys I've Loved Before,97,7.2,7
Molly's Game,82,7.4,8
Blackfish,98,8.1,8
El Camino: A Breaking Bad Movie,91,7.4,1
The Invisible Guest,67,8.1,5
Song of the Sea,99,8.1,10
End of Watch,85,7.6,10
The Evil Dead,95,7.5,4
About Time,68,7.8,9
Kung Fu Hustle,90,7.7,5
Blue Is the Warmest Color,89,7.7,6
Y Tu Mamá También,92,7.6,2
The Naked Gun: From the Files of Police Squad!,87,7.6,5
Mud,97,7.4,8
The Edge of Seventeen,94,7.3,2
Philadelphia,80,7.7,5
Lagaan: Once Upon a Time in India,95,8.1,3
Tucker and Dale vs. Evil,85,7.5,3
The Matrix Reloaded,73,7.2,9
The Two Popes,89,7.6,9
The Last Samurai,66,7.7,8
The Florida Project,96,7.6,8
13th,96,8.2,8
Bahubali: The Beginning,88,8.1,10
The Dawn Wall,100,8.1,7
Dolemite Is My Name,97,7.3,8
Tarzan,89,7.3,10
The Platform,82,7,10
Okja,87,7.3,8
Roma,96,7.7,10
Saving Mr. Banks,79,7.5,9
Icarus,93,7.9,9
Jiro Dreams of Sushi,99,7.9,5
Corpse Bride,84,7.3,8
Jerry Maguire,83,7.3,4
