ratingID,userID,movieTitle,userRating
1,32,Inception,4
2,41,The Matrix,7
3,10,Avengers: Infinity War,1
4,9,Back to the Future,4
5,44,The Good  the Bad and the Ugly,5
6,34,Spider-Man: Into the Spider-Verse,9
7,11,The Pianist,2
8,26,Django Unchained,2
9,39,Raiders of the Lost Ark,1
10,21,Inglourious Basterds,6
11,42,Taxi Driver,10
12,33,3 Idiots,3
13,23,Pan's Labyrinth,5
14,28,Room,5
15,18,Monty Python and the Holy Grail,9
16,25,Once Upon a Time in the West,9
17,7,Indiana Jones and the Last Crusade,10
18,21,Groundhog Day,5
19,24,The King's Speech,6
20,28,Her,6
21,3,There Will Be Blood,7
22,27,The Social Network,9
23,42,Dallas Buyers Club,6
24,12,The Perks of Being a Wallflower,2
25,42,Life of Brian,9
26,41,Ex Machina,3
27,16,Silver Linings Playbook,10
28,47,District 9,8
29,5,The Irishman,5
30,4,Moon,1
31,35,Marriage Story,6
32,3,Drive,6
33,18,Train to Busan,1
34,26,Incredibles 2,1
35,5,Dangal,2
36,28,Klaus,8
37,17,Minority Report,8
38,12,Mystic River,6
39,45,Like Stars on Earth,3
40,5,Ferris Bueller's Day Off,2
41,37,Despicable Me,4
42,31,Hell or High Water,3
43,21,Sin City,10
44,42,Ip Man,6
45,6,Indiana Jones and the Temple of Doom,8
46,32,The Theory of Everything,1
47,4,The Pursuit of Happyness,1
48,44,Senna,5
49,20,Scott Pilgrim vs. the World,7
50,39,Magnolia,5
51,3,The Hateful Eight,1
52,13,The Artist,1
53,39,Moonlight,10
54,48,Back to the Future Part II,9
55,28,Willy Wonka & the Chocolate Factory,5
56,34,What's Eating Gilbert Grape,5
57,34,The Curious Case of Benjamin Button,4
58,49,A Silent Voice,3
59,16,Snowpiercer,1
60,31,Hugo,9
61,14,Ant-Man and the Wasp,5
62,14,As Good as It Gets,5
63,50,Back to the Future Part III,7
64,50,Searching for Sugar Man,4
65,15,Road to Perdition,3
66,1,To All the Boys I've Loved Before,7
67,47,Molly's Game,8
68,2,Blackfish,8
69,9,El Camino: A Breaking Bad Movie,1
70,12,The Invisible Guest,5
71,31,Song of the Sea,10
72,26,End of Watch,10
73,8,The Evil Dead,4
74,28,About Time,9
75,47,Kung Fu Hustle,5
76,30,Blue Is the Warmest Color,6
77,44,Y Tu MamÃ¡ TambiÃ©n,2
78,37,The Naked Gun: From the Files of Police Squad!,5
79,41,Mud,8
80,26,The Edge of Seventeen,2
81,30,Philadelphia,5
82,37,Lagaan: Once Upon a Time in India,3
83,42,Tucker and Dale vs. Evil,3
84,16,The Matrix Reloaded,9
85,11,The Two Popes,9
86,31,The Last Samurai,8
87,23,The Florida Project,8
88,49,13th,8
89,15,Bahubali: The Beginning,10
90,3,The Dawn Wall,7
91,2,Dolemite Is My Name,8
92,43,Tarzan,10
93,35,The Platform,10
94,38,Okja,8
95,23,Roma,10
96,33,Saving Mr. Banks,9
97,39,Icarus,9
98,49,Jiro Dreams of Sushi,5
99,49,Corpse Bride,8
100,27,Jerry Maguire,4
101,17,The Death of Stalin,10
102,28,GoldenEye,1
103,21,The Boy in the Striped Pyjamas,6
104,19,Amy,1
105,29,Ralph Breaks the Internet,10
